,gbifID,county,geo_county,FLAG
9719,1503238825,Baker Co.,Baker,
9740,1503238855,Baker Co.,Baker,
10006,1503239545,Baker Co.,Baker,
10589,1503241158,Baker Co.,Baker,
10608,1503241187,Baker Co.,Baker,
11747,1503245156,Baker Co.,Baker,
11754,1503245187,Baker Co.,Baker,
11762,1503245209,Baker Co.,Baker,
11771,1503245222,Baker Co.,Baker,
11795,1503245254,Baker Co.,Baker,
11798,1503245259,Baker Co.,Baker,
14278,1503252674,Baker Co.,Baker,
16351,1503258455,Baker Co.,Baker,
16354,1503258459,Baker Co.,Baker,
16355,1503258460,Baker Co.,Baker,
16357,1503258462,Baker Co.,Baker,
16359,1503258468,Baker Co.,Baker,
18284,1503262454,Baker Co.,Baker,
18285,1503262458,Baker Co.,Baker,
18287,1503262472,Baker Co.,Baker,
18288,1503262473,Baker Co.,Baker,
18290,1503262481,Baker Co.,Baker,
18296,1503262502,Baker Co.,Baker,
18299,1503262506,Baker Co.,Baker,
18302,1503262510,Baker Co.,Baker,
18304,1503262514,Baker Co.,Baker,
18305,1503262515,Baker Co.,Baker,
18306,1503262516,Baker Co.,Baker,
18309,1503262519,Baker Co.,Baker,
18311,1503262524,Baker Co.,Baker,
18315,1503262528,Baker Co.,Baker,
18321,1503262541,Baker Co.,Baker,
18322,1503262542,Baker Co.,Baker,
18324,1503262544,Baker Co.,Baker,
18325,1503262547,Baker Co.,Baker,
18331,1503262561,Baker Co.,Baker,
18349,1503262596,Baker Co.,Baker,
18350,1503262597,Baker Co.,Baker,
18389,1503262663,Baker Co.,Baker,
18413,1503262691,Baker Co.,Baker,
20394,1503267429,Baker Co.,Baker,
21141,1503268768,Baker Co.,Baker,
21142,1503268769,Baker Co.,Baker,
21148,1503268778,Baker Co.,Baker,
21149,1503268780,Baker Co.,Baker,
21158,1503268789,Baker Co.,Baker,
21160,1503268791,Baker Co.,Baker,
21183,1503268818,Baker Co.,Baker,
21209,1503268846,Baker Co.,Baker,
21210,1503268847,Baker Co.,Baker,
21233,1503268872,Baker Co.,Baker,
21236,1503268875,Baker Co.,Baker,
21242,1503268884,Baker Co.,Baker,
21283,1503268932,Baker Co.,Baker,
21290,1503268940,Baker Co.,Baker,
21299,1503268950,Baker Co.,Baker,
21315,1503268969,Baker Co.,Baker,
21325,1503268979,Baker Co.,Baker,
21423,1503269096,Baker Co.,Baker,
21426,1503269099,Baker Co.,Baker,
21439,1503269114,Baker Co.,Baker,
21441,1503269116,Baker Co.,Baker,
21442,1503269118,Baker Co.,Baker,
21443,1503269119,Baker Co.,Baker,
21444,1503269120,Baker Co.,Baker,
21445,1503269121,Baker Co.,Baker,
21446,1503269122,Baker Co.,Baker,
21454,1503269130,Baker Co.,Baker,
21457,1503269133,Baker Co.,Baker,
21460,1503269136,Baker Co.,Baker,
21467,1503269145,Baker Co.,Baker,
21472,1503269153,Baker Co.,Baker,
21478,1503269162,Baker Co.,Baker,
21484,1503269168,Baker Co.,Baker,
21486,1503269171,Baker Co.,Baker,
21491,1503269178,Baker Co.,Baker,
21492,1503269179,Baker Co.,Baker,
21949,1503269932,Baker Co.,Baker,
23048,1503271934,Baker Co.,Baker,
23271,1503272486,Baker Co.,Baker,
23679,1503273781,Baker Co.,Baker,
23680,1503273783,Baker Co.,Baker,
23706,1503273893,Baker Co.,Baker,
23718,1503273911,Baker Co.,Baker,
23737,1503273934,Baker Co.,Baker,
23745,1503273953,Baker Co.,Baker,
24032,1503274449,Baker Co.,Baker,
25342,1503277082,Baker Co.,Baker,
25347,1503277093,Baker Co.,Baker,
25368,1503277254,Baker Co.,Baker,
25372,1503277267,Baker Co.,Baker,
25373,1503277271,Baker Co.,Baker,
25375,1503277274,Baker Co.,Baker,
25376,1503277275,Baker Co.,Baker,
25377,1503277277,Baker Co.,Baker,
25379,1503277285,Baker Co.,Baker,
25384,1503277310,Baker Co.,Baker,
25607,1503277910,Baker Co.,Baker,
26941,1837453062,Baker Co.,Baker,
26944,1837453065,Baker Co.,Baker,
29644,1841147439,Baker Co.,Baker,
29673,1841147592,Baker Co.,Baker,
29679,1841147642,Baker Co.,Baker,
29694,1841147716,Baker Co.,Baker,
29704,1841147762,Baker Co.,Baker,
31197,1930583368,Baker Co.,Baker,
31226,1930620565,Baker Co.,Baker,
31292,1930697008,Baker Co.,Baker,
31395,1930818821,Baker Co.,Baker,
31720,1929341881,Baker Co.,Baker,
31849,1929520511,Baker Co.,Baker,
31928,1929617929,Baker Co.,Baker,
32050,1929773585,Baker Co.,Baker,
1588,415906896,Baker County,Baker,
2514,415955744,Baker County,Baker,
3255,415976095,Baker County,Baker,
5447,699258501,Baker County,Baker,
5581,699264512,Baker County,Baker,
27612,1849173241,Baker County,Baker,
29273,1932897119,Baker County,Baker,
29275,1932897129,Baker County,Baker,
29290,1932897314,Baker County,Baker,
27493,1849149068,Baker County,Union,FLAG
162,1986874199,Baldwin,Escambia,FLAG
1237,1258626151,Baldwin,Escambia,FLAG
1238,1258626183,Baldwin,Escambia,FLAG
1239,1258626186,Baldwin,Escambia,FLAG
4284,1260045259,Baldwin,Escambia,FLAG
5934,1260795417,Baldwin,Escambia,FLAG
5975,1261149396,Baldwin,Escambia,FLAG
5986,1261332684,Baldwin,Escambia,FLAG
5987,1261332757,Baldwin,Escambia,FLAG
30519,56505653,Baldwin,Escambia,FLAG
30526,56527120,Baldwin,Escambia,FLAG
28832,1895585997,BAY,Bay,
32190,1846483549,Bay,Gulf,FLAG
6316,1928466971,Bay Co.,Bay,
6509,1928750531,Bay Co.,Bay,
6534,1928782953,Bay Co.,Bay,
6627,1928904547,Bay Co.,Bay,
6730,1929027145,Bay Co.,Bay,
6763,1929890807,Bay Co.,Bay,
7081,1931045515,Bay Co.,Bay,
7308,1503224752,Bay Co.,Bay,
7388,1503228526,Bay Co.,Bay,
7389,1503228528,Bay Co.,Bay,
7405,1503228560,Bay Co.,Bay,
7407,1503228562,Bay Co.,Bay,
7456,1503228628,Bay Co.,Bay,
7459,1503228633,Bay Co.,Bay,
7509,1503228706,Bay Co.,Bay,
7519,1503228718,Bay Co.,Bay,
7536,1503228752,Bay Co.,Bay,
7552,1503228771,Bay Co.,Bay,
7562,1503228783,Bay Co.,Bay,
7569,1503228791,Bay Co.,Bay,
7575,1503228797,Bay Co.,Bay,
7583,1503228809,Bay Co.,Bay,
7603,1503228833,Bay Co.,Bay,
7607,1503228837,Bay Co.,Bay,
7655,1503228892,Bay Co.,Bay,
7676,1503228918,Bay Co.,Bay,
7688,1503228935,Bay Co.,Bay,
7695,1503228947,Bay Co.,Bay,
7705,1503228959,Bay Co.,Bay,
7716,1503228976,Bay Co.,Bay,
7734,1503229010,Bay Co.,Bay,
7789,1503230893,Bay Co.,Bay,
7790,1503230894,Bay Co.,Bay,
7798,1503230906,Bay Co.,Bay,
7801,1503230910,Bay Co.,Bay,
7827,1503230944,Bay Co.,Bay,
7837,1503230959,Bay Co.,Bay,
7897,1503231426,Bay Co.,Bay,
7913,1503231449,Bay Co.,Bay,
7959,1503231512,Bay Co.,Bay,
8024,1503231592,Bay Co.,Bay,
8028,1503231597,Bay Co.,Bay,
8057,1503231647,Bay Co.,Bay,
8214,1503234227,Bay Co.,Bay,
8237,1503234270,Bay Co.,Bay,
8238,1503234271,Bay Co.,Bay,
8523,1503234959,Bay Co.,Bay,
8525,1503234961,Bay Co.,Bay,
9261,1503237392,Bay Co.,Bay,
9544,1503238439,Bay Co.,Bay,
9684,1503238780,Bay Co.,Bay,
9699,1503238796,Bay Co.,Bay,
9700,1503238798,Bay Co.,Bay,
9721,1503238828,Bay Co.,Bay,
9751,1503238869,Bay Co.,Bay,
9847,1503239021,Bay Co.,Bay,
10037,1503239593,Bay Co.,Bay,
10113,1503239760,Bay Co.,Bay,
10266,1503240014,Bay Co.,Bay,
10366,1503240268,Bay Co.,Bay,
10454,1503240804,Bay Co.,Bay,
10462,1503240820,Bay Co.,Bay,
10478,1503240875,Bay Co.,Bay,
10525,1503240977,Bay Co.,Bay,
10556,1503241056,Bay Co.,Bay,
10944,1503242704,Bay Co.,Bay,
10963,1503242726,Bay Co.,Bay,
10966,1503242732,Bay Co.,Bay,
11550,1503244513,Bay Co.,Bay,
12114,1503246084,Bay Co.,Bay,
12119,1503246094,Bay Co.,Bay,
12127,1503246116,Bay Co.,Bay,
12138,1503246136,Bay Co.,Bay,
12406,1503246962,Bay Co.,Bay,
12458,1503247041,Bay Co.,Bay,
12459,1503247044,Bay Co.,Bay,
12663,1503247462,Bay Co.,Bay,
12969,1503248322,Bay Co.,Bay,
15274,1503255051,Bay Co.,Bay,
15295,1503255168,Bay Co.,Bay,
15354,1503255503,Bay Co.,Bay,
15834,1503256826,Bay Co.,Bay,
16339,1503258364,Bay Co.,Bay,
16348,1503258451,Bay Co.,Bay,
16362,1503258472,Bay Co.,Bay,
16363,1503258473,Bay Co.,Bay,
16370,1503258491,Bay Co.,Bay,
16392,1503258612,Bay Co.,Bay,
17883,1503261756,Bay Co.,Bay,
18424,1503262706,Bay Co.,Bay,
23571,1503273392,Bay Co.,Bay,
23573,1503273399,Bay Co.,Bay,
23575,1503273406,Bay Co.,Bay,
23576,1503273408,Bay Co.,Bay,
23577,1503273409,Bay Co.,Bay,
23578,1503273413,Bay Co.,Bay,
23579,1503273418,Bay Co.,Bay,
23580,1503273423,Bay Co.,Bay,
23839,1503274221,Bay Co.,Bay,
23841,1503274224,Bay Co.,Bay,
23847,1503274233,Bay Co.,Bay,
23856,1503274247,Bay Co.,Bay,
23860,1503274252,Bay Co.,Bay,
23862,1503274254,Bay Co.,Bay,
23869,1503274265,Bay Co.,Bay,
24964,1503276126,Bay Co.,Bay,
24965,1503276130,Bay Co.,Bay,
24966,1503276131,Bay Co.,Bay,
24968,1503276145,Bay Co.,Bay,
24969,1503276148,Bay Co.,Bay,
24970,1503276150,Bay Co.,Bay,
24971,1503276153,Bay Co.,Bay,
24972,1503276158,Bay Co.,Bay,
24974,1503276162,Bay Co.,Bay,
24976,1503276165,Bay Co.,Bay,
24977,1503276166,Bay Co.,Bay,
24981,1503276175,Bay Co.,Bay,
24982,1503276176,Bay Co.,Bay,
24983,1503276178,Bay Co.,Bay,
24984,1503276180,Bay Co.,Bay,
24985,1503276185,Bay Co.,Bay,
24986,1503276186,Bay Co.,Bay,
24987,1503276187,Bay Co.,Bay,
24988,1503276188,Bay Co.,Bay,
24990,1503276190,Bay Co.,Bay,
24991,1503276191,Bay Co.,Bay,
24992,1503276193,Bay Co.,Bay,
24993,1503276194,Bay Co.,Bay,
24994,1503276195,Bay Co.,Bay,
24995,1503276197,Bay Co.,Bay,
24996,1503276200,Bay Co.,Bay,
24997,1503276203,Bay Co.,Bay,
24998,1503276213,Bay Co.,Bay,
25625,1503277952,Bay Co.,Bay,
25629,1503277958,Bay Co.,Bay,
25631,1503277960,Bay Co.,Bay,
25634,1503277964,Bay Co.,Bay,
25635,1503277966,Bay Co.,Bay,
25637,1503277969,Bay Co.,Bay,
25638,1503277970,Bay Co.,Bay,
25644,1503277978,Bay Co.,Bay,
25648,1503277983,Bay Co.,Bay,
25654,1503277991,Bay Co.,Bay,
25791,1503278308,Bay Co.,Bay,
25795,1503278315,Bay Co.,Bay,
25798,1503278324,Bay Co.,Bay,
25800,1503278326,Bay Co.,Bay,
25802,1503278331,Bay Co.,Bay,
25803,1503278333,Bay Co.,Bay,
25805,1503278339,Bay Co.,Bay,
25806,1503278344,Bay Co.,Bay,
25807,1503278346,Bay Co.,Bay,
25808,1503278347,Bay Co.,Bay,
25817,1503278437,Bay Co.,Bay,
25824,1503278445,Bay Co.,Bay,
25830,1503278453,Bay Co.,Bay,
25831,1503278454,Bay Co.,Bay,
25837,1503278462,Bay Co.,Bay,
25838,1503278463,Bay Co.,Bay,
25855,1503278491,Bay Co.,Bay,
25898,1503278697,Bay Co.,Bay,
25901,1503278705,Bay Co.,Bay,
25906,1503278710,Bay Co.,Bay,
25907,1503278711,Bay Co.,Bay,
25910,1503278714,Bay Co.,Bay,
25911,1503278715,Bay Co.,Bay,
25921,1503278728,Bay Co.,Bay,
25923,1503278730,Bay Co.,Bay,
25925,1503278732,Bay Co.,Bay,
25936,1503278747,Bay Co.,Bay,
27742,1945004537,Bay Co.,Bay,
27745,1945004614,Bay Co.,Bay,
30842,1930154775,Bay Co.,Bay,
30855,1930165623,Bay Co.,Bay,
30981,1930328741,Bay Co.,Bay,
31058,1930419847,Bay Co.,Bay,
31271,1930670364,Bay Co.,Bay,
31368,1930787777,Bay Co.,Bay,
31583,1929172322,Bay Co.,Bay,
31649,1929246593,Bay Co.,Bay,
31769,1929399242,Bay Co.,Bay,
31843,1929514654,Bay Co.,Bay,
32118,1929871564,Bay Co.,Bay,
1779,415913746,Bay County,Bay,
1918,415926002,Bay County,Bay,
1919,415926003,Bay County,Bay,
1925,415926009,Bay County,Bay,
2323,415947961,Bay County,Bay,
5781,699269920,Bay County,Bay,
27451,1849138628,Bay County,Bay,
27656,1849182020,Bay County,Bay,
29286,1932897233,Bay County,Bay,
32205,1846498137,Bay County,Bay,
32270,606646579,Bay County,Bay,
32221,1846556857,Bay County,Gulf,FLAG
567,1457803615,Bradford,Baker,FLAG
4973,1258120080,Bradford,Baker,FLAG
4975,1258120148,Bradford,Baker,FLAG
4977,1258120171,Bradford,Baker,FLAG
4979,1258120288,Bradford,Baker,FLAG
5182,1258122946,Bradford,Baker,FLAG
5183,1258122979,Bradford,Baker,FLAG
5184,1258122992,Bradford,Baker,FLAG
5251,1258124125,Bradford,Baker,FLAG
5356,1258125557,Bradford,Baker,FLAG
5378,1258125840,Bradford,Baker,FLAG
20112,1503267053,Bradford Co.,Alachua,FLAG
20120,1503267062,Bradford Co.,Alachua,FLAG
20124,1503267066,Bradford Co.,Alachua,FLAG
808,1927875620,Bradford Co.,Bradford,
875,1927976737,Bradford Co.,Bradford,
942,1928054944,Bradford Co.,Bradford,
961,1928076064,Bradford Co.,Bradford,
4186,1933395451,Bradford Co.,Bradford,
6131,1931327464,Bradford Co.,Bradford,
6346,1928503154,Bradford Co.,Bradford,
6366,1928524473,Bradford Co.,Bradford,
6421,1928615659,Bradford Co.,Bradford,
6720,1929019821,Bradford Co.,Bradford,
6834,1929953533,Bradford Co.,Bradford,
6923,1930057670,Bradford Co.,Bradford,
7008,1930963613,Bradford Co.,Bradford,
9060,1503236726,Bradford Co.,Bradford,
9322,1503237606,Bradford Co.,Bradford,
9667,1503238761,Bradford Co.,Bradford,
9723,1503238830,Bradford Co.,Bradford,
18923,1503264336,Bradford Co.,Bradford,
20091,1503267032,Bradford Co.,Bradford,
